bin	normal_cell1	normal_cell2	normal_cell3	normal_cell4	normal_cell5	normal_cell6	normal_cell7	normal_cell8	normal_cell9	normal_cell10	clone1_cell1	clone1_cell2	clone1_cell3	clone1_cell4	clone1_cell5	clone1_cell6	clone1_cell7	clone1_cell8	clone1_cell9	clone1_cell10	clone3_cell1	clone3_cell2	clone3_cell3	clone3_cell4	clone3_cell5	clone3_cell6	clone3_cell7	clone3_cell8	clone3_cell9	clone3_cell10	clone8_cell1	clone8_cell2	clone8_cell3	clone8_cell4	clone8_cell5	clone8_cell6	clone8_cell7	clone8_cell8	clone8_cell9	clone8_cell10	clone4_cell1	clone4_cell2	clone4_cell3	clone4_cell4	clone4_cell5	clone4_cell6	clone4_cell7	clone4_cell8	clone4_cell9	clone4_cell10	clone2_cell1	clone2_cell2	clone2_cell3	clone2_cell4	clone2_cell5	clone2_cell6	clone2_cell7	clone2_cell8	clone2_cell9	clone2_cell10	clone5_cell1	clone5_cell2	clone5_cell3	clone5_cell4	clone5_cell5	clone5_cell6	clone5_cell7	clone5_cell8	clone5_cell9	clone5_cell10	clone6_cell1	clone6_cell2	clone6_cell3	clone6_cell4	clone6_cell5	clone6_cell6	clone6_cell7	clone6_cell8	clone6_cell9	clone6_cell10	clone9_cell1	clone9_cell2	clone9_cell3	clone9_cell4	clone9_cell5	clone9_cell6	clone9_cell7	clone9_cell8	clone9_cell9	clone9_cell10	clone7_cell1	clone7_cell2	clone7_cell3	clone7_cell4	clone7_cell5	clone7_cell6	clone7_cell7	clone7_cell8	clone7_cell9	clone7_cell10
chr1:1-5000000	27899	28033	27568	27917	27574	27583	27467	27632	27547	27794	27469	27289	27360	27121	27120	27068	27043	27171	26929	27262	27900	27417	27765	28119	27601	27584	27473	27661	27608	27780	28361	28572	28160	28300	27891	28066	28215	28052	28027	28116	28109	28610	28525	28346	28408	28424	28558	28296	27776	28180	27834	27906	28094	27602	28070	28302	27799	27895	28361	27973	108545	108893	108487	108776	108912	108438	108792	108366	108932	107816	55647	55138	55190	55711	55913	55772	55048	55891	55683	55167	56294	55784	55672	55598	55440	55329	56053	56111	55971	55787	28337	28162	27495	27952	27997	28251	28097	27953	27822	27999
chr1:5000001-10000000	36417	36593	36806	35963	36775	36335	36438	36442	36443	36418	107915	107716	107602	107558	107634	107077	107013	107784	107621	107833	109393	109331	110195	108800	110064	110244	108492	108819	109481	109775	111415	110557	111790	110495	110803	110544	110445	110408	110521	110742	112444	112040	112623	111763	112535	112506	111703	112725	112623	111745	36658	36875	37037	36858	37229	36673	37027	36384	37005	37125	35646	35946	35469	35950	36082	35886	35645	36009	36149	35775	182997	182698	182929	183252	183059	182487	182081	182426	182154	181730	221912	223103	221483	220916	220825	221911	221947	221467	221548	220906	36825	37447	36862	36877	37051	36954	37105	37350	36804	37212
chr1:10000001-15000000	32901	33505	33178	33035	33311	33285	32884	33109	32873	33536	65163	64770	64851	65265	64476	65198	64864	64635	65137	64157	66581	66070	65572	66133	66227	66853	66341	65681	65763	65261	66288	67145	66658	66442	66914	66972	67196	66153	67031	67097	67490	67960	67267	67921	66896	67291	67315	67862	67877	67798	33581	33321	33396	33323	33526	33370	33143	33604	33091	33292	32477	32903	32430	32790	32533	32573	31964	32544	32672	32502	131157	132066	132171	132239	131575	132422	131115	131529	132102	132788	133518	134169	131622	133768	132889	132952	133314	134294	133290	132079	33033	33113	33529	33388	33313	33118	33150	32950	33479	33172
chr1:15000001-20000000	34600	35052	35125	35001	35080	34549	34761	35275	34788	35120	33836	34561	34158	33777	34343	34047	34245	34188	34423	33916	34768	34391	33952	34740	34454	34515	34369	34592	34890	34777	105572	105146	105261	105616	105685	106179	105402	105862	105575	104569	71702	70971	71765	70825	71515	71212	71222	71546	71611	70886	35331	35300	35286	35133	35229	35333	35225	35526	34856	34734	84883	85378	85185	84669	84957	84813	85398	84694	84777	84571	138755	138016	138701	139752	138922	139033	138901	139776	139260	138884	140570	141100	140425	140850	140707	140435	140791	140364	140701	140541	70412	69538	69817	69680	70166	69608	70721	69949	69636	70026
chr1:20000001-25000000	36007	36363	36393	35934	36034	36049	36316	36712	36245	36152	35850	35656	35790	35990	35712	35587	35613	35301	35549	35524	36535	36130	36467	36355	36133	35673	36133	36196	36423	35929	36387	37010	36655	36718	35984	36967	36167	36536	36753	36894	37912	37255	37363	37144	37542	37495	36991	37433	37238	37170	36560	36889	36620	36757	36758	36622	36465	36585	36289	36576	89504	89469	89301	90200	89664	89134	89984	89261	89263	89352	36388	36132	36601	36529	36020	36682	36743	36369	36186	36577	35983	36374	36576	36515	36241	36290	36552	36549	36766	36725	73806	73957	74390	73548	74135	74559	74200	73631	73930	73842
chr1:25000001-30000000	36242	35730	36558	36217	36904	36043	35941	36904	36170	35971	35257	35259	35518	35508	35586	35408	35135	35406	35227	35460	126325	126144	126336	127024	125769	126145	126365	126056	127257	125768	127699	126670	127152	127869	127874	127818	127703	127909	127255	127850	36454	36800	36691	36859	36817	37093	36901	37177	36938	37799	36413	36402	36590	36537	36637	36188	36390	37028	36466	36377	35474	35806	35765	35416	36183	35044	35707	35141	35685	35154	91176	89836	89847	90406	90628	90367	91403	90568	90193	89513	164187	164062	162589	163938	165179	163792	164394	163728	162738	163974	127101	127594	127426	127877	128353	127172	127124	127161	128548	127797
chr1:30000001-35000000	35338	35688	35684	36145	35644	35808	36035	35117	35262	35987	35090	34815	35237	34902	34376	35269	35279	34931	34937	34383	35494	35685	35296	35593	35065	35291	35338	35551	35317	35855	36121	35986	35895	36010	36139	35766	36056	35783	36003	36105	18254	18345	18253	18385	18380	18091	18328	18436	18029	18345	36200	36106	35951	35970	36114	35618	35731	35920	36225	35491	174603	176175	174956	174978	175381	175296	175360	174163	174077	175535	35850	35281	35276	36045	35442	35323	35566	36159	35436	35791	35727	36205	36060	35866	36215	35972	36429	35791	35892	36248	35835	36143	36594	35829	35919	36265	36244	35871	35960	35923
chr1:35000001-40000000	36931	36646	36395	36263	36608	36870	36158	36352	36447	36599	17616	18052	17543	17913	17872	17690	18096	18101	18092	17736	18219	18255	18412	18126	18450	18003	18322	18022	18112	17997	18220	18448	18252	18491	18290	18508	18504	18627	18089	18206	18618	19201	18676	18942	18839	18871	18738	18764	18563	18347	36991	36990	37166	36414	36455	36765	36865	36207	36840	36556	36071	35842	35551	35933	35735	35831	35513	35979	35958	36282	92344	90744	91792	91678	92272	91823	91460	91959	91651	90823	91073	90944	91033	90921	90871	90351	92082	91299	90974	91020	37027	36258	36665	36843	37121	36509	36544	36998	36664	36523
chr1:40000001-45000000	36492	36037	36615	36218	36471	36051	36581	36270	36529	36717	107312	107376	108013	107585	107098	107920	106920	107404	107569	107398	108879	108660	109359	108915	108814	109255	109103	109240	109663	109220	147434	147053	148137	147542	147429	146154	146977	147099	148017	147126	113106	112087	111954	111483	112898	111717	112309	112005	112117	112108	37027	36768	36568	36613	37005	37070	36961	36776	37083	36782	35593	35701	35355	35439	36149	35504	35513	35839	35476	35454	36414	36510	36014	37154	36176	36550	36457	35885	36433	36504	36681	36522	36653	36928	36906	37318	36638	36628	36641	36834	36689	37096	36835	36743	36673	37545	36694	36475	36919	36749
chr1:45000001-50000000	36240	35364	35811	35826	35725	35605	35834	35972	35681	36300	34887	34998	35145	35246	34918	35433	35243	35168	34778	35276	143161	142119	143057	143064	142400	142184	142440	142777	141813	142804	144310	144871	144875	144399	144307	145721	143372	144164	143477	144081	54617	55246	54999	54776	55139	54429	55698	54861	55177	54662	36276	36053	35616	36434	35961	36029	36172	36247	36892	36342	140189	140456	140803	141146	140740	140679	140377	140244	139457	140665	35644	36010	35711	35882	35552	35855	35405	35493	35635	35731	90078	90132	90334	90318	90160	90585	90186	90534	90592	89910	36182	36182	36191	36198	36173	36282	36543	35663	36191	35916
