bin	normal_cell1	normal_cell2	normal_cell3	normal_cell4	normal_cell5	normal_cell6	normal_cell7	normal_cell8	normal_cell9	normal_cell10	clone1_cell1	clone1_cell2	clone1_cell3	clone1_cell4	clone1_cell5	clone1_cell6	clone1_cell7	clone1_cell8	clone1_cell9	clone1_cell10	clone3_cell1	clone3_cell2	clone3_cell3	clone3_cell4	clone3_cell5	clone3_cell6	clone3_cell7	clone3_cell8	clone3_cell9	clone3_cell10	clone8_cell1	clone8_cell2	clone8_cell3	clone8_cell4	clone8_cell5	clone8_cell6	clone8_cell7	clone8_cell8	clone8_cell9	clone8_cell10	clone4_cell1	clone4_cell2	clone4_cell3	clone4_cell4	clone4_cell5	clone4_cell6	clone4_cell7	clone4_cell8	clone4_cell9	clone4_cell10	clone2_cell1	clone2_cell2	clone2_cell3	clone2_cell4	clone2_cell5	clone2_cell6	clone2_cell7	clone2_cell8	clone2_cell9	clone2_cell10	clone5_cell1	clone5_cell2	clone5_cell3	clone5_cell4	clone5_cell5	clone5_cell6	clone5_cell7	clone5_cell8	clone5_cell9	clone5_cell10	clone6_cell1	clone6_cell2	clone6_cell3	clone6_cell4	clone6_cell5	clone6_cell6	clone6_cell7	clone6_cell8	clone6_cell9	clone6_cell10	clone9_cell1	clone9_cell2	clone9_cell3	clone9_cell4	clone9_cell5	clone9_cell6	clone9_cell7	clone9_cell8	clone9_cell9	clone9_cell10	clone7_cell1	clone7_cell2	clone7_cell3	clone7_cell4	clone7_cell5	clone7_cell6	clone7_cell7	clone7_cell8	clone7_cell9	clone7_cell10
chr1:1-5000000	139142	139505	139248	138824	138158	138557	138798	138719	139085	138844	136575	136782	136562	135752	135659	135784	135872	135353	136598	136395	138392	137538	138351	138555	138283	138197	136990	137632	137419	138466	140706	140468	140351	140133	139786	140381	140992	139976	141125	139715	142444	142849	142632	141610	141387	142732	141637	142003	141482	141938	139405	139762	140229	139190	139943	140182	140490	140401	140436	139606	544014	543567	543402	542209	544477	542921	543692	544442	544567	543667	276566	277448	277038	276750	278692	277431	277764	277943	278135	277046	279972	278949	278207	278335	278508	278225	278657	279424	280283	279200	140559	139544	138987	140495	140301	140439	140480	140482	139586	140673
chr1:5000001-10000000	182805	182056	182441	182008	182546	181648	182827	182300	182482	183109	538867	537632	538782	538446	536701	538156	537662	538472	536847	538911	546681	545887	548699	548199	546736	547649	546611	545318	548095	548351	552271	554562	555085	554240	553623	555151	553557	554185	553641	554345	560938	560025	561047	559451	561942	559087	560419	561228	562864	559127	185219	185456	184622	184299	185000	183769	184184	184103	184425	185290	178034	178525	178349	178830	178887	179098	178329	179157	178771	177772	916219	913273	915370	916201	914960	913413	916686	912607	912154	915200	1104860	1106613	1105871	1106446	1106465	1107247	1108316	1106879	1106845	1107833	184634	185755	184421	184305	184552	184729	184634	184404	184304	184027
chr1:10000001-15000000	165556	166661	165132	165290	165979	165759	165709	165949	165309	165888	324649	323444	322580	325462	323697	324801	323718	323637	324256	323724	330870	329601	330329	329653	330461	331522	330420	329994	331261	329656	333917	333443	333807	334357	334253	333396	334725	333261	335287	333840	338556	338786	338422	338137	336998	338132	338994	338845	338854	338664	166781	166914	166110	166949	166913	167452	166931	166962	166305	167032	162638	163982	163310	163077	162982	162385	161956	162786	162301	162657	658581	660343	661345	658396	658414	660380	659245	661194	661789	661017	665162	669326	664408	667217	666537	666681	666635	668934	664674	665626	166481	166399	166766	166885	167137	166244	167176	167163	167233	166568
chr1:15000001-20000000	174618	173674	173227	174295	174147	173046	173943	175041	173621	175044	169973	171702	171067	169748	170673	169659	170284	170331	171126	171323	173056	173862	173308	173699	173475	172087	173562	173101	172819	173111	527676	527931	527418	526628	528334	527875	528004	527636	527425	527266	356763	354924	356121	355630	355010	356357	357094	356087	355247	355838	176081	175612	175075	175050	175260	175260	174918	175122	174814	174285	423322	424876	424887	425388	426649	424217	424884	424431	424546	424336	695051	694083	693962	694430	695591	693686	692993	694372	695460	696091	703141	702901	703070	704280	702745	703925	700912	702273	702586	703190	349814	348839	350276	349492	350116	349714	350209	350440	349128	351221
chr1:20000001-25000000	182421	182122	181590	181773	181256	182282	181276	182314	182027	181115	178061	178539	178323	177816	178515	178102	178494	177729	178553	178210	180811	180624	180616	181370	181406	180652	181391	180239	180462	180109	183520	183392	183196	183784	182480	183623	183717	183547	183912	183054	186954	186543	185235	186643	186473	186387	185970	186559	185686	186068	184193	183599	183876	182832	183473	183046	182796	182695	183878	183202	447675	448110	447547	448100	447815	447729	449067	447638	446729	446262	182135	181559	180922	182333	181654	181935	182872	182549	181389	182450	181829	182519	182767	182591	182591	182368	184147	182959	183743	183830	368798	369460	369419	369605	369882	370099	369593	368936	369429	368781
chr1:25000001-30000000	181661	180500	181553	181791	181774	180630	181407	181821	179899	181073	176676	177299	177341	176642	177168	176961	175707	177413	177937	176482	630808	631037	632806	631886	630948	630500	631059	632683	632313	632477	639113	637567	638854	639055	639245	638918	638884	639332	638298	640245	184678	185956	184649	185059	184724	184368	185538	184614	184680	185528	182024	181506	181592	181785	183117	181755	182196	181821	182705	182215	177664	177718	177397	178012	177732	176790	176754	176922	176669	176215	451718	450813	450766	449970	453204	451201	452517	451232	450967	450514	819441	820213	818525	819309	821924	820525	818219	819486	818230	819946	638215	637192	637198	640002	639427	636649	637957	638076	638190	640122
chr1:30000001-35000000	178713	179470	178576	178478	178561	178398	179054	177682	178823	178426	175559	174443	174641	174383	174295	174845	174860	173279	174684	174873	176719	177690	177635	177212	177412	176676	177860	177824	177725	178245	181491	180282	179647	180427	179465	180707	180106	179621	180853	181581	91186	92247	91626	91756	91612	91638	91567	92346	91066	91237	180754	179965	178427	179909	179706	179946	179333	179209	179607	178374	874782	874934	874657	874587	874078	874947	874020	874582	874316	875085	177704	177469	177736	178266	177846	178064	177993	178345	177594	177933	180360	180487	180448	180513	179960	179426	181209	180029	180140	179980	179820	179219	180303	180756	179299	179925	179760	180961	180514	179204
chr1:35000001-40000000	182683	181647	183089	181666	181531	183560	182045	182193	182542	181322	88882	89875	89174	89187	89431	89750	89612	89582	89411	89174	91257	91161	90889	91587	91399	90946	91171	90830	90746	91172	91659	91985	92546	91669	91663	91835	91176	91536	91600	91912	93725	94372	94236	93779	94227	93582	93770	93742	94022	93241	183438	183869	183837	183146	183562	182929	184069	183143	183344	183915	179157	179044	178187	178456	177958	178547	178603	179130	178780	178799	457948	456896	456995	458037	458622	458365	457354	457603	457635	456870	455438	453431	455053	454311	454899	454323	455700	455210	455674	455377	182878	182344	182589	182682	182901	182725	182418	184636	183569	183298
chr1:40000001-45000000	182302	181618	181788	182873	182841	182221	182767	182460	182626	182141	534169	536507	537345	536582	534606	536314	536331	536751	537482	537826	546196	543627	545527	544572	545087	545424	544141	545162	544752	544529	735628	737904	737815	737500	736565	735513	734823	736477	736994	735058	561585	559811	560304	561010	561454	559912	561023	559873	560465	560696	183606	184085	184309	184049	184565	185114	184782	183638	183729	183972	178869	178414	179311	178143	178375	178498	179376	179081	178295	177930	182335	182409	181592	183218	181274	181346	183010	181548	182061	181140	184535	183124	183879	183452	183706	184652	183883	183263	184112	184493	184667	184321	185011	184409	184376	184926	183535	183296	183399	184216
chr1:45000001-50000000	179491	178016	180077	178409	178674	178727	178780	179749	178416	178340	175635	175824	175766	175692	175996	176497	176059	176315	174764	176531	713345	710043	712765	713648	712622	712541	713456	712741	713798	715005	720533	722652	721177	720005	721934	722477	721929	721625	721295	721718	273984	273929	274970	275340	274289	274522	275263	274392	274769	274242	179428	180494	180475	180534	180765	179833	180988	180136	180849	181080	700495	703283	702922	701400	701232	702429	700612	701652	700730	702169	178398	178788	178184	179806	178889	179206	178169	178035	179276	178584	450045	451257	451265	451561	451137	450906	450657	451111	452750	450006	181046	181334	180300	181089	180652	181205	181458	180291	180863	181548
